file_names,y_true,y_pred,y_scores_good,y_scores_bad
4_bad,bad,bad,0.010074462,0.9899255
5_bad,bad,bad,0.49976534,0.5002347
0_good,good,good,0.9769394,0.023060683
1_good,good,good,0.99937135,0.00062867557
7_bad,bad,good,0.7464878,0.25351223
7_good,good,bad,0.27586582,0.7241342
6_good,good,good,0.92545944,0.07454058
6_bad,bad,bad,0.10851255,0.8914874
3_bad,bad,bad,0.09368032,0.90631974
3_good,good,good,0.8646838,0.1353162
2_good,good,good,0.74497676,0.25502324
9_good,good,bad,0.39308053,0.6069194
8_good,good,bad,0.48510474,0.51489526
2_bad,bad,bad,0.003920315,0.99607974
9_bad,bad,good,0.87150365,0.12849635
0_bad,bad,bad,0.02425747,0.9757426
4_good,good,good,0.5295299,0.4704701
5_good,good,good,0.9923034,0.0076966374
1_bad,bad,bad,0.11619717,0.8838028
8_bad,bad,good,0.96904147,0.030958604
